Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Refugees,Asylum-seekers,IDPs,Other people in need of international protection,Stateless persons,Host community,Others of concern
2016,Bangladesh,Myanmar,BGD,MMR,REF,"The total figure at the end of 2016 includes 243,000 persons in Bangladesh originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.",,,,,,,
2019 - 2022,Poland, ,POL,,STA,"There is no official data on statelessness in Poland. The reported figure refers to the number of stateless persons holding a personal identification number issued by the Government, which does not cover all stateless people in the country.",,,,,,,
2022 - 2023,Czechia, ,CZE,,STA,In situ figure based on the 2011 census.,,,,,,,
2022,Croatia, ,HRV,,STA,Figure from the 2022 census.,,,,,,,
2015,Uzbekistan, ,UZB,,STA,Figure of stateless persons refers to those with permanent residence reported in 2010 by the Government. Information on other categories of stateless persons is not available.,,,,,,,
2019,Türkiye, ,TUR,,REF,Refugee figure is a Government estimate.,,,,,,,
2022,Jordan, ,JOR,,REF,"The refugee population in Jordan includes 31,000 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2016 - 2019,Italy, ,ITA,,STA,Figure from the National Institute of Statistics (ISTAT).,,,,,,,
2023,Canada, ,CAN,,REF,"Naturalization figures refer to the admission of protected persons as permanent residents of Canada. End-year stock refers to protected persons who are yet to acquire permanent resident status. The statistics on refugees individually recognized in Canada include persons who had their claim assessed before the Refugee Protection Division and the Refugee Appeal Division of the Immigration Refugee Board as well as by the Department of Immigration, Refugees and Citizenship Canada through a Pre-Removal Risk Assessment.",,,,,,,
2019,Indonesia, ,IDN,,STA,"The total statelessness figure reported relates to 582 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for Indonesia for the first time in 2019. There are also indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.",,,,,,,
2022,Bolivia (Plurinational State of), ,BOL,,REF,Data for the number of refugees is as of mid-2022.,,,,,,,
2021 - 2022,Malaysia, ,MYS,,STA,"The total stateless population in Malaysia includes 9,040 non-displaced stateless persons who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless persons is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR. The total statelessness figure reported also includes 103,380 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State.",,,,,,,
2017,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 178 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 233,393 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",,,,,,,
2019 - 2020,Colombia, ,COL,,IDP,Figure is based on the total cumulative figure from the Victim’s Registry which commenced in 1985 (https://www.unidadvictimas.gov.co/en).,,,,,,,
2015,Thailand, ,THA,,STA,"Figure of Stateless persons is Updated from the Royal Thai Government. The decrease includes the grant of Thai nationality to over 18,000 stateless people in the last three years.",,,,,,,
2025,Myanmar, ,MMR,,STA,"The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State, including stateless Rohingya IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless people remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State, increasing to 550,500 due to additional displacement (including an estimated 253,500 of those Rohingya who have been internally displaced).",,,,,,,
2017 - 2018, , ,,,"STA,OOC",Persons under UNHCR’s statelessness mandate were included in the category “Others of concern” until 2003.,,,,,,,
2023,Kyrgyzstan, ,KGZ,,REF,"Based on new arrivals information in the report of international organizations and UNHCR protection monitoring activities, UNHCR estimates there to be 27,540 people of various origins in Kyrgyzstan who may be in need of international protection.",,,,,,,
2021, ,Ukraine,,UKR,IDP,"The IDP figure has been aligned to the inter-agency methodology as defined in the 2022 Humanitarian Needs Overview, including an area-based improvement of the estimation of people displaced in government-controlled areas. The others of concern figure relates to persons who have specific protection needs and live in non-government-controlled areas.",,,,,,,
2021,Jordan, ,JOR,,REF,"The refugee population in Jordan includes 34,200 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2019,Dominican Rep., ,DOM,,"REF,ASY,IDP,STA,OOC,HST,OIP","UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High-Level Segment on Statelessness, approximately 48 per cent of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2019, over 1,700 Group B persons (900 of which were children) had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). However, no naturalization decisions concerning this population have been issued to date.",,,,,,,
